"filename", "language", "Markdown", "Python", "JSON", "Shell Script", "pip requirements", "JavaScript", "JavaScript JSX", "PostCSS", "HTML", "comment", "blank", "total"
"d:\nyaymargadarshak\frontend\src\pages\LegalUpdatesPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 156, 0, 0, 3, 19, 178
"d:\nyaymargadarshak\frontend\src\pages\LoginPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 0, 1, 8, 77
"d:\nyaymargadarshak\frontend\src\pages\NotFoundPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
"d:\nyaymargadarshak\frontend\src\pages\RegisterPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 1, 8, 96
"d:\nyaymargadarshak\frontend\src\utils\api.js", "JavaScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 5, 24
"d:\nyaymargadarshak\frontend\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 1, 1, 31
"d:\nyaymargadarshak\frontend\vite.config.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"d:\nyaymargadarshak\package.json", "JSON", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"d:\nyaymargadarshak\scraper\requirements.txt", "pip requirements", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\nyaymargadarshak\scraper\scheduler.py", "Python", 0, 18, 0, 0, 0, 0, 0, 0, 0, 5, 7, 30
"d:\nyaymargadarshak\scraper\scraper.py", "Python", 0, 116, 0, 0, 0, 0, 0, 0, 0, 9, 34, 159
"d:\nyaymargadarshak\scraper\sources.py", "Python", 0, 33, 0, 0, 0, 0, 0, 0, 0, 3, 4, 40
"d:\nyaymargadarshak\setup.sh", "Shell Script", 0, 0, 0, 52, 0, 0, 0, 0, 0, 8, 11, 71
"Total", "-", 255, 167, 4880, 52, 4, 1113, 2180, 66, 17, 157, 616, 9507
